EntryID,City,Country,Action type,Description,DateAnnounced,DateEnded,Status (if known),Comments,contact info (optional),Primary news source,Additional sources,Additional sources 2,Additional sources 3,Additional sources 4
1,"Chapel Hill, NC",USA,Automated walk signals,deactivated beg buttons at a few intersections where motor vehicle traffic is not inconvenienced,"March 27, 2020",,,,,https://chapelboro.com/news/local-government/town-of-chapel-hill-automates-walk-signals-to-protect-public-health,,,,
2,"Philadelphia, PA",USA,Closed streets to motor vehicles,YES. 4 miles of MLK Drive closed to cars (extended weekend closures to weekdays),"March 30, 2020",,,Closure of a street that's typically only closed on weekends,randy@bicyclecoalition.org,https://www.nbcphiladelphia.com/news/local/mlk-drive-closed-to-cars-as-philly-looks-to-facilitate-social-distancing/2335569/,,,,
3,Sydney,Australia,Automated walk signals,Removed beg buttons in CBD (not across the whole City - effectively implementing the same conditions as 9-5 M-F (UPDATE 12 April 2020: Following the success of automated pedestrian signals in the Sydney central business district (24 March 2020) the state transport agency rolled these out to major hospital and health campuses in Sydney. Covers were placed on the buttons to prevent usage. Area maps are provided in the transportnsw.info link provided.),"March 23, 2020",,,,megan.gee@arup.com; joanne.deng@ghd.com; Sara Stace sara@linkplace.com.au,https://www.transport.nsw.gov.au/news-and-events/media-releases/automated-pedestrian-crossings-to-be-expanded-to-key-health,https://www.zdnet.com/article/nsw-transport-rolls-out-automated-pedestrian-crossings-to-greater-sydney/,https://www.governmentnews.com.au/sydney-traffic-lights-automated-to-combat-covid-19/,https://transportnsw.info/news/2020/automated-pedestrian-crossings-expanded-in-nsw,https://7news.com.au/lifestyle/health-wellbeing/sydney-pedestrian-crossings-changed-amid-coronavirus-crisis-c-758478
4,Adelaide,Australia,Automated walk signals,removed beg buttons,,,,,,https://twitter.com/sandyver/status/1242247033349500928?s=20,,,,
5,Auckland,New Zealand,Automated walk signals,Removed beg buttons in CBD,"March 24, 2020",,,,,https://twitter.com/AklTransport/status/1242567782027472898,,,,
6,"Portland, OR",USA,Other strategies: misc,"DIY block ""opening"" from PE teacher Sam Balto","March 16, 2020",,,,sambalto@gmail.com,https://docs.google.com/presentation/d/12wnnmEPpi48TYV1lKYQAgGKLoYh-IwNEkA7ArCI3j90/edit#slide=id.g817b225285_0_4,,,,
7,Bogota,Colombia,Closed streets to motor vehicles,"In most cases one complete lane taken for bicycles, other lanes kept for motor vehicles","March 18, 2020",,Temporary,,carlos@numo.global,https://www.smartcitiesworld.net/news/news/bogota-expands-bike-lanes-overnight-to-curb-coronavirus-spread-5127,,,,
8,"Chicago, IL",USA,Other strategies: bike share,"Lowered/eliminated costs for bike share, transit, and ride-hailing licenses. ","March 24, 2020",,Temporary ,,steven@stevevance.net,https://chi.streetsblog.org/2020/03/24/chicagos-pandemic-plan-includes-free-divvy-for-front-line-workers-1-rides-for-everyone/,,,,
9,"Chicago, IL",USA,Other strategies: bike share,Divvy bike-share is free for healthcare workers and reduced cost for everyone else during the pandemic. ,"March 24, 2020",,Temporary ,,steven@stevevance.net,https://chi.streetsblog.org/2020/03/24/chicagos-pandemic-plan-includes-free-divvy-for-front-line-workers-1-rides-for-everyone/,,,,
10,Winter Garden FL,USA,Other strategies: misc,"Expanding weekend farmers market to Wednesday night, drive-up pickup lane for curbside management. Existing farmers market location adjacent to regional trail. ""Expanding complementary land use in time; curbside management""","March 11, 2020",,,,PatriciaTice@crewsllc.com,https://www.cwgdn.com/CivicAlerts.aspx?AID=52,,,,
11,"Chicago, IL",USA,Other strategies: transit improvements,"Metra commuter rail and Pace suburban bus are offering free rides to medical personnel. The CTA is offering prorated credit for any unused days on active 7- and 30-day passes. Pace, which also runs paratransit for the region, is waiving the usual $3 rider fee for subsidized taxi trips for people who would otherwise use paratransit. Ride-hail and taxi drivers are getting a break on taxes and fees during the crisis.","March 24, 2020",,Temporary ,,steven@stevevance.net,https://chi.streetsblog.org/2020/03/24/chicagos-pandemic-plan-includes-free-divvy-for-front-line-workers-1-rides-for-everyone/,,,,
12,New York City,USA,Reallocated outer lane/curb space,"Smith St (two blocks) /Jay Street (one block) in downtown Brooklyn and 2nd Ave in Manhattan; for protected bike lanes; four other streets piloted for 4 days in Bronx, Manhattan, Queens, and Brooklyn","March 24, 2020",,temporary,,philip.miatkowski@transalt.org,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_63fe327135fea1de1219ae6428b7d547,,,,
13,"Portland, OR",USA,Closed streets to motor vehicles,Monday-Friday 4:40-5:10pm for PE class. Residents can still drive down street but cut through traffic goes around.,"March 16, 2020",,,,sambalto@gmail.com,https://katu.com/features/on-your-side-at-home/portland-pe-teacher-keeps-kids-active-at-a-safe-distance-during-coronavirus-outbreak,,,,
14,Berlin,Germany,Other strategies: bike share,Free rides (30 min multiple times) on Nextbike bike sharing service that is subsidised by Berlin government,"March 25, 2020",,,,j.kluge@izt.de,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2020/pressemitteilung.911780.php,https://taz.de/Fahrradpolitik-in-Berlin/!5670935/,https://www.nextbike.de/de/berlin/news/nextbikes-kostenlos-leihen/,https://www.berlin.de/sen/uvk/presse/pressemitteilungen/2020/pressemitteilung.918101.php,
15,Berlin,Germany,Other strategies: transit improvements,free rides for medical staff on BerlKönig shuttle service from local transport authority BVG,"March 25, 2020",,,,j.kluge@izt.de,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2020/pressemitteilung.911780.php,,,,
16,Berlin ,Germany,Fasttracked implementation of ped/bike plans,"""500x usual duration from idea to execution (due to quickened process)""","March 25, 2020",,,,j.kluge@izt.de,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2020/pressemitteilung.911780.php,https://taz.de/Fahrradpolitik-in-Berlin/!5670935/,https://www.nextbike.de/de/berlin/news/nextbikes-kostenlos-leihen/,https://www.berlin.de/sen/uvk/presse/pressemitteilungen/2020/pressemitteilung.918101.php,
17,New York City,USA,Closed streets to motor vehicles,"RESCINDED 6 APR 2020:  4 roads closed (NYC rescinded the open streets, citing not enough interest to justify the personnel needed to block off the roads every day; see discussion & comments to the right for more)","March 25, 2020","April 4, 2020",ended,"Update on rescinded open streets from Jane Meyer, NYC Mayor's Deputy Press Secretary: ""Last night, we reached a decision to suspend the safe streets pilot. This is a part of our ongoing effort to use City resources wisely to promote social distancing. We are still open to reviewing other innovative ways to open public space to New Yorkers and may adjust course as this situation evolves.""",,https://nyc.streetsblog.org/2020/03/25/here-are-the-four-streets-de-blasio-will-close-to-cars-for-four-days/,,,,
18,"Portland, OR",USA,Closed streets to motor vehicles,YES - roads in 10 parks closed to drivers,"March 25, 2020",,,,,https://bikeportland.org/2020/03/25/city-of-portland-bans-driving-in-10-parks-312918,,,,
19,Beirut,Lebanon,Specific policy action to restrict walking & biking,outdoor physical activity no longer permitted during strict lockdown,"March 31, 2020",,Temporary,,info@thechaineffect.me,,,,,
20,"Portland, OR",USA,Implemented shared streets,yes* but in name not practice; DETAILS NEEDED,"March 25, 2020",,,,,,,,,
21,Connecticut,USA,Specific closure of walking/cycling infrastructure,"shut down numerous trails, parks","March 13, 2020",,,,,https://ctmirror.org/2020/03/13/closings-at-connecticut-parks-and-forests-due-to-covid-19/,,,,
22,Beirut,Lebanon,Reduced transit service,"all public transport (informal) banned from operation, fines to those who don't comply","March 31, 2020",,Temporary,,info@thechaineffect.me,,,,,
23,"Portland, OR",USA,Other strategies: bike share,drastic reduction in cost to use Biketown bikeshare; added 250 scooters to existing fleet and reduced rental 50%. Free 30min rides for health care workers.,"March 25, 2020",,,,,,,,,
24,Bogota,Colombia,Other strategies: bike share,"400 bikes given by MUVO bike share and supported by NUMO, Despacio, Bogotá government.","March 26, 2020",,,,carlos@numo.global,https://twitter.com/carlosfpardo/status/1243180899065348096?s=20,,,,
25,Bogota,Colombia,Reallocated outer lane/curb space,"35km of termporary bikeway & 500+km of permanent bikeway. Changed from 22 to 117 to 76 kms (and now 35 until APril 13th during lockdown), all of these part of the regular Sunday ""ciclovía"". Also, highest demand reported was 79 thousand trips per day along those corridors.","March 26, 2020",,Temporary ,,carlos@numo.global,,,,,
26,Florida,USA,Specific enforcement action to restrict walking & biking,"Have heard that law enforcement is chasing people off trails, though there is a caveat that trails can be used for transportation purposes. Need verification of how that's enforced. From an FDEP letter: ""While State Parks and State Trails are closed for recreational purposes, this is not intended to limit multiuse trails as transportation corridors or limit the public’s ability to get from one place or another.""","March 16, 2020",,,,,https://www.floridastateparks.org/,,,,
27,"Brookline, MA",USA,Reallocated outer lane/curb space,parking removed on 3 major streets to create walk/bike space,"March 26, 2020",,,,,https://brooklinecovid19.com/2020/04/09/brookline-announces-changes-to-street-configurations-to-accommodate-social-distancing-by-pedestrians/,,,,
28,"Brookline, MA",USA,Automated walk signals,Making pedestrian signals automated to reduce touching,"March 26, 2020",,,,,https://www.bostonglobe.com/2020/03/26/metro/amid-coronavirus-concerns-brookline-adjusts-pedestrian-buttons-so-they-no-longer-need-be-touched/,,,,
29,"Duluth, MN",USA,Closed streets to motor vehicles,"2 park roads; ""City of Duluth Dedicates Two Park Roads to Bike/Ped and Plows Munger Trail to Disperse Trail Use""","March 26, 2020",,,,,https://duluthmn.gov/media/WebSubscriptions/93/20200326-93-5836.pdf,,,,
30,Minneapolis MN,USA,Closed streets to motor vehicles,"21 miles of park roads closed to motor vehicles; part of a 32 mile loop when combined with ""Stay Healthy Streets""","March 26, 2020","June 24, 2020",temporary--program to be cancelled (June 24),,,https://www.minneapolisparks.org/news/2020/03/26/minneapolis-park-and-recreation-board-announces-riverfront-parkway-and-road-closures-to-help-trail-users-maintain-social-distancing/,https://twitter.com/chrisjohnmeyer/status/1275849177348669440,,,
31,Manila,Philippines,Other strategies: bike share,Lend-a-bike project for health care workers (private advocacy initiative; no gov't involvement),"March 24, 2020",,,,,https://cnnphilippines.com/news/2020/3/24/bikers-lead-initiative-bikes-frontliners-coronavirus.html?fbclid=IwAR1QKyi73n4G5kXPNr8BL-lJg3ljWkAz7Yzzq7SGY0s-FGAdL67DVsb14bI,,,,
32,"Santa Ana, CA",USA,Other strategies: misc,Retrofitted parking system to work for essential businesses vs. total district. Implemented take-out parking in front of restaurants. Looking at creative use of a parking lot as a drive-in movie theatre.,"March 26, 2020",,,,info@downtown-inc.com,,,,,
33,Belo Horizonte,Brazil,Other strategies: transit improvements,decreased transit headways to maximum 30 mins (to minimize waiting?),"March 27, 2020",,,,,https://prefeitura.pbh.gov.br/noticias/nota-da-prefeitura-de-belo-horizonte-3,,,,
34,Brisbane,Australia,Other strategies: misc,Brisbane reducing/eliminating parking fees and metering: “almost 1000 parking meters will be switched off across the city and fees will be reduced at two major Council car parks,"March 27, 2020",,,,,,,,,
35,"Asheville, NC",USA,Automated walk signals,removed beg buttons at some intersections,,,,,,https://americawalks.org/bringing-back-automatic-pedestrian-recall-how-coronavirus-might-make-walking-easier-in-the-future/,,,,
36,Calgary,Canada,Reallocated outer lane/curb space,Converted selected vehicle lanes to walking/cycling use alongside busy segments of the river pathway network to provide adequate space for physical distancing.,"March 27, 2020",,,,,https://calgaryherald.com/news/local-news/city-to-test-weekend-road-closures-to-help-calgarians-keep-their-distance/,,,,
37,Calgary,Canada,Closed streets to motor vehicles,Yes but only on a small segment (lower deck of the Centre Street N bridge); the majority of the program involves lane conversions and not full road closures.,"March 27, 2020",,,,,https://calgaryherald.com/news/local-news/city-to-test-weekend-road-closures-to-help-calgarians-keep-their-distance/,,,,
38,Minneapolis MN,USA,Closed streets to motor vehicles,"""Stay Healthy Streets"": ""Plymouth Avenue North; West 36th Street, from Dupont Avenue to Bde Maka Ska; and 26th Avenue South between 9th Street and Franklin Avenue. The eastbound lane of Main Street from Third Avenue to the Stone Arch Bridge will be closed."" **NOTE: this was part of long-term transport plan; accelerated due to COVID19; **UPDATE: one street re-opened to vehicles due to political pressure on 10 April","March 27, 2020",,permanent,"""Due COVID 19, our parks are busier than ever. To help maintain social distancing for community members exercising in some of our most heavily used park areas, MPRB is partnering with the City to open up riverfront parkways, including sections of Main St SE and West River Road."" (update 4/10 West River Rd reopening to cars due to political pressure)",,https://www.startribune.com/minneapolis-plans-barricades-or-bollards-for-some-extra-space-in-outdoor-areas/569179531/,,,,
39,Minneapolis MN,USA,Reallocated outer lane/curb space,sidewalk expansions in areas with essential services: ,"March 27, 2020",,,,,http://minneapolismn.gov/publicworks/trans/WCMSP-224120,,,,
40,Minneapolis MN,USA,Reduced speed limit,20mph citywide **NOTE: this was part of long-term transport plan; accelerated due to COVID19,"March 27, 2020",,permanent,,,http://minneapolismn.gov/publicworks/trans/WCMSP-224120,,,,
41,Minneapolis MN,USA,Automated walk signals,at 400 signals,"March 27, 2020",,,,,http://minneapolismn.gov/publicworks/trans/WCMSP-224120,,,,
42,Calgary,Canada,Automated walk signals,removed beg buttons,"March 28, 2020",,,,,https://calgaryherald.com/news/local-news/city-to-test-weekend-road-closures-to-help-calgarians-keep-their-distance/,,,,
44,"San Francisco, CA",USA,Reduced transit service,streamlining transit to buses only to constrain costs,"March 21, 2020",,,,,,,,,
45,"Carrboro, NC",USA,Other strategies: misc,"Private developments convert existing offstreet parking to loading zones and waiting areas, town facilitate signage and traffic control","March 28, 2020",,,,zhallock@townofcarrboro.org,,,,,
46,Montgomery County MD,USA,Closed streets to motor vehicles,yes (Fri-Sun parkway closures for recreation starting April 4); more streets added 13 April 2020; expansion of previously existing ciclovia,"March 29, 2020",,,"""expanded previously existing ciclovia""",,https://wtop.com/montgomery-county/2020/03/montgomery-co-closing-part-of-sligo-creek-pkwy-for-more-recreation-space-during-virus-shutdown/,,,,
47,"Austin, TX",USA,Other strategies: bike share,Making station-based bike share free for 60 min trips via city-owned system,"March 30, 2020",,,,david.orr@austintexas.gov,,,,,
48,"Washington, DC",USA,Specific closure of walking/cycling infrastructure,Closed cherry blossom trees/Tidal Basin 3/23 to discourage people coming to see them in bloom.  Believe area still closed as of 3/31.,"March 23, 2020",,,"Led by National Parks Service around the Tidal Basin due to cherry blossom crowds. (Note from another DC user: these street closures were more to prevent people/tourists from driving to the cherry blossoms, not to necessarily open streets for proper social distancing. Also, the closed roads were open to bikes and peds.)",,https://www.washingtonpost.com/local/crowds-couldnt-resist-the-cherry-blossoms-so-officials-posted-the-police/2020/03/23/3ad91e96-6d1f-11ea-aa80-c2470c6b2034_story.html,,,,
