UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
1,Global,,,,3/1/2020,,,"TC: NA. MW: Uber is offering 100,000 free meals through Uber Eats to United Kingdom National Health Service and Health and Safety Commission workers.. ML: NA",Uber offers free meals for healthcare workers in the United Kingdom,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,multi-country,,unknown,,Anticipated response,New action,Arbitrary,One time implementation,Moving goods,Other,,Modifications to prices,Private sector action,https://www.uber.com/gb/en/u/nhs-hsc-covid-19/,,,,,,,,,,,,Delivery or freight,,,Uber,,1,,,,,0,,,,,,1,MW088,MW088
2,Global,,,,3/1/2020,,,"TC: NA. MW: Uber is offering 200,000 free rides to United Kingdom National Health Service and Health and Safety Commission workers.. ML: NA",Uber offers free rides for healthcare workers in the United Kingdom,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,multi-country,,unknown,,Anticipated response,New action,Arbitrary,One time implementation,Moving people,Special permit,,Modifications to prices,Private sector action,https://www.uber.com/gb/en/u/nhs-hsc-covid-19/,,,no,,,,,,,,,Shared rides,,,Uber,,1,,,,,0,,,,,,2,MW091,MW091
3,Israel,,nationwide,,3/1/2020,,,"TC: NA. MW: HopOn is piloting a tool that generates on-demand routing for Dan Transportation and Metropolitan buses. The app directs to new bus routes based on passenger occupancy and demand and creates flexible public transportation. Each driver or inspector, the payment enforcement personnel, installs the HopOn app on their phone or tablet and can start driving on a new route using voice and map commands. These drivers and inspectors can report at each station how many passengers are on the bus and the number of waiting passengers at the station. The app detects in real time how many passengers are on each vehicle and how many passengers are at each station. Based on this information the system can dispatch another vehicle and manage the operation by demand.. ML: NA",Bus operators in Israel pilot app to detect in real time passenger occupancy and demand to generate on-demand routing,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,unknown,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Indefinite,Moving people,Automation,,unknown,Private sector action,NA,,,no,,,,,,,,,Transit,Bus,,"HopOn Mobility, Metropolin, Dan Transportation",,3,,Middle East & North Africa,IL,,0,,,,,,3,MW114,MW114
4,Israel,,Ramat Gan,,3/1/2020,,,"TC: NA. MW: During the COVID-19 pandemic, Blue White Robotics and ST Engineering collaborated with the Sheba Medical Center to pilot autonomous rides for COVID-19 patients and blood tests. The initiation is ongoing and has received support from the Israel Innovation Authority.. ML: NA",Autonomous shuttles for to transport COVID-19 patients and blood tests in Israel,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,unknown,Indefinite,Moving people,Automation,,Introducing new processes,Private sector action,NA,,,no,,,,,,,,,Shared rides,,,"Blue White Robotics, ST Engineering, Sheba Medical Center",,2,1,Middle East & North Africa,IL,,0,,,,,,4,MW112,MW112
5,United Kingdom,Scotland,Glasgow,3/4/2020,3/27/2020,,,"TC: free bike share for healthcare workers. MW: Frontline workers in Cardiff will be able to use the city’s nextbike scheme for free following a joint venture between the operator and two of Cardiff’s universities. Nextbike, Cardiff University and Cardiff Metropolitan University have jointly funded the scheme to enable NHS workers and those offering critical support during the coronavirus pandemic to use the bikes for free. It follows similar rollouts in Glasgow, Stirling and Hillingdon in London, where free memberships have been offered to key workers who are still having to travel to and from work during the pandemic. The scheme will offer 500 free memberships to NHS staff and other essential workers, which means the first 30 minutes of every rental is free. The memberships will be valid for one month from redemption and will be first come first serve.. ML: NA",Free nextbike memberships and e-bicycle rides for essential workers in Glasgow,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,All day every day,N/A,entire city,,unknown,,Anticipated response,New action,Arbitrary,Temporary,Moving people,Special permit,,Modifications to prices,unknown,"https://www.nextbike.co.uk/en/glasgow/news/thousands-of-free-glasgow-nextbike-memberships-and-e-bike-rides-for-nhs-staff/ , https://www.nextbike.co.uk/en/glasgow/news/thousands-of-free-glasgow-nextbike-memberships-and-e-bike-rides-for-nhs-staff/",,,no,,,,,,,,,Shared modes,Bicycle / e-bicycle,,"Glasgow City Council, ScottishPower, nextbike, Bike for Good",2,1,1,Europe & Central Asia,GB,GB-SCT,1,,,,,,5,MW197,"MW197, TC723"
6,United States,Washington,King County,,3/5/2020,,,"TC: NA. MW: All passengers and operators will board fully disinfected buses across King County Metro’s system, representing Metro’s commitment to stopping the spread of novel coronavirus. Metro crews are cleaning every bus every night using 21 newly acquired backpack sprayers distributed evenly across its seven bases. Metro is also utilizing its current staff of 200 equipment and utility service workers. This practice will continue for the foreseeable future as part of Metro’s ongoing efforts to support the health and safety of passengers, employees, and community members.. ML: NA",King County Metro quickly transitions to disinfect all buses to limit COVID-19,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,metropolitan area or county,,unknown,,unknown,New action,Arbitrary,Indefinite,Public health,Other,,Introducing new processes,unknown,https://kingcountymetro.blog/2020/03/04/march-4-metro-quickly-transitions-to-disinfect-all-buses/,,,no,,,,,,,,,Transit,Bus,,"As delivery and take-out food become the new norm for supporting local restaurants, bicycle-share company Gotcha is offering its wheels to restaurants. All 200 bikes in Syracuse will be available for restaurant use for $15a day per bicycle or discounted rate for 5+ bikes. Gotcha initially removed their bikes from public use in New York after Governor Andrew Cuomo issue stay at home orders but suggested opening the e-bicycles up to delivery workers.",1,,,North America,US,US-WA,0,,,,,,6,MW474,MW474
7,Rwanda,,Kigali,,3/10/2020,,,"TC: NA. MW: To help curb the spread of COVID-19, Rwandan authorities have set-up hand-washing basins at a bus station in Kigali. A number of portable hand-wash basins are placed in the open road at the Kigali Bus Park and residents have been seen making use of the basins.. ML: NA",Rwanda sets up hand-washing facilities at bus station amid coronavirus fears,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,"Other (parks, plazas)",All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Indefinite,Public health,Other,,unknown,unknown,https://www.iol.co.za/news/africa/rwanda-sets-up-hand-washing-facilities-at-bus-station-amid-coronavirus-fears-44517299,,,no,,,,,,,,,Transit,,,Government of Rwanda,1,,,Sub-Saharan Africa,RW,,0,,,,,,7,MW178,MW178
8,United States,Florida,Winter Garden,3/11/2020,,,,"TC: Expanding weekend farmers market to Wednesday night, drive-up pickup lane for curbside management. Existing farmers market location adjacent to regional trail. ""Expanding complementary land use in time; curbside management"". MW: NA. ML: NA",,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,"Other (parks, plazas)",Specific days,N/A,one or more neighborhoods,,unknown,,Reactive response (to higher contagion),Expanding pre-covid action,Arbitrary,Unknown,Public health,Change of use,,N/A,Private sector action,https://www.cwgdn.com/CivicAlerts.aspx?AID=52,,,,,,,,PatriciaTice@crewsllc.com,,,,,,,0,,,,North America,US,US-FL,1,,,,,,8,TC010,TC010
9,United States,Connecticut,statewide,3/13/2020,,,,"TC: shut down numerous trails, parks. MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Specific closure of walking/cycling infrastructure,restrict ped/bike mobility,restricted pedbike,Physical,"Other (parks, plazas)",All day every day,N/A,one or more streets,N/A,Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Urban space closure,,N/A,unknown,https://ctmirror.org/2020/03/13/closings-at-connecticut-parks-and-forests-due-to-covid-19/,,,no,,,,,,,,,,,,0,,,,North America,US,,1,,,,,,9,TC021,TC021
10,Spain,,Zaragoza,,3/13/2020,,,TC: NA. MW: Regulated residential parking fees are being waived in Zaragoza to encourage residents to stay in place.. ML: NA,Resident parking fees waived,"Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,Parking lane,All day every day,N/A,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Arbitrary,Temporary,Public health,Special permit,,Modifications to prices,unknown,https://www.zaragoza.es/sede/portal/coronavirus/movilidad,,,,,,,,,,,,Individually owned,Automobile,,City of Zaragoza,1,,,Europe & Central Asia,ES,,1,,,,,,10,MW186,MW186
